Address,Name,Size,Length,SCR,Description,Category,Docs
006566F8,Weapons.dat - Effect,1,130,Simple Data,0 = None  1 = Normal Hit 2 = Splash (Radial) 3 = Splash ...,Combat,Effect
00656780,Weapons.dat - Icon,2,130,Simple Data,cmdicons.grp frame,Combat,State
0065678C,Damage type/factor multipliers vs unit size,20,5,,(What's this?),Combat,Damage
00656888,Weapons.dat - Splash Inner Radius,2,130,Simple Data,,Combat,Effect
00656990,Weapons.dat - Attack Angle,1,130,Simple Data,"""Angle within which the weapon can be fired without wa...",Combat,Collision
00656A18,Weapons.dat - Minimum Range,4,130,Simple Data,16 times the value in DatEdit.,Combat,Collision
00656C20,Weapons.dat - Graphics Y Offset,1,130,Simple Data,,Combat,Proj
00656CA8,Weapons.dat - Graphics,4,130,Simple Data,Flingy.dat index Weapon Graphic,Combat,Proj
00656EB0,Weapons.dat - Damage Amount,2,130,Simple Data,,Combat,Damage
00656FB8,Weapons.dat - Cooldown,1,130,Simple Data,,Combat,State
00657040,Weapons.dat - Remove After,1,130,Simple Data,"""Time until the weapon is removed if it does not hit a...",Combat,Proj
006570C8,Weapons.dat - Splash Middle Radius,2,130,Simple Data,,Combat,Effect
006571D0,Weapons.dat - Upgrade ID,1,130,Simple Data,Upgrades.dat index,Combat,Damage
00657258,Weapons.dat - Damage Type,1,130,Simple Data,0 = Independent 1 = Explosive 2 = Concussive 3 = Normal ...,Combat,Damage
006572E0,Weapons.dat - Label,2,130,Simple Data,stat_txt.tbl index,Combat,State
006573E8,Weapons.dat - Special Attack,1,130,Simple Data,Reference only?,Combat,Effect
00657470,Weapons.dat - Maximum Range,4,130,Simple Data,Value is 16 times what DatEdit shows.,Combat,Collision
00657678,Weapons.dat - Upgrade Bonus,2,130,Simple Data,,Combat,Damage
00657780,Weapons.dat - Splash Outer Radius,2,130,Simple Data,,Combat,Effect
00657888,Weapons.dat - Launch Spin,1,130,Simple Data,,Combat,Proj
00657910,Weapons.dat - Graphics X Offset,1,130,Simple Data,,Combat,Proj
00657998,Weapons.dat - Target Flags,2,130,Simple Data,0x001 Air 0x002 Ground 0x004 Mechanical 0x008 Organic 0...,Combat,Collision
00657A9C,Game Brightness,4,1,Simple Data,Darkens the screen without affecting UI elements. Appears t...,Client,UI
00657AA0,Fog of War Masks,1,4096,Backed By Code,Sets the brightness parts of the fog of war masks. Correspo...,Player,Vision
0065FC18,Units.dat - Max Hits (Air),1,228,Simple Data,This value is for statistics purposes only (?),Engine,Struct
0065FD00,Units.dat - Gas Cost,2,228,Simple Data,,Engine,Struct
0065FEC8,Units.dat - Armor,1,228,Simple Data,,Engine,Struct
0065FFB0,"Units.dat - ""What"" Sound Start",2,228,Simple Data,sfxdata.dat start index,Engine,Struct
00660178,Units.dat - Computer AI Unit Type,1,228,Simple Data,"""AI Internal"" in DatEdit",Engine,Struct
00660260,Units.dat - Map String,2,228,Simple Data,"If this property is different from 0, the unit's name ...",Engine,Struct
00660428,Units.dat - Build Time,2,228,Simple Data,,Engine,Struct
006605F0,Units.dat - Start Direction,1,228,Simple Data,"""Direction unit will face after it is created. Values ...",Engine,Struct
006606D8,Units.dat - Brood War Flag,1,228,Simple Data,,Engine,Struct
006607C0,Units.dat - Subunit 1,2,228,Simple Data,228 = None,Engine,Struct
00660988,Units.dat - Transport Space Provided,1,228,Simple Data,,Engine,Struct
00660A70,Units.dat - Dat Requirement Offset,2,228,Simple Data,u16 index of 0x00514178 (address is 0x00514178 + 2*this va...,Engine,Struct
00660C38,Units.dat - Subunit 2,2,228,Simple Data,Unused.,Engine,Struct
00660E00,Units.dat - Shield Amount,2,228,Simple Data,,Engine,Struct
00660FC8,Units.dat - Movement Flags,1,228,Simple Data,,Engine,Struct
006610B0,Units.dat - Construction Animation,4,228,Simple Data,0 = No graphics,Engine,Struct
00661440,"Units.dat - ""Yes"" Sound End",2,106,Simple Data,sfxdata.dat end index,Engine,Struct
00661518,Units.dat - Staredit Availability Flags,2,228,Simple Data,0x0001 - Non-Neutral 0x0002 - Unit Listing & Palette ...,Engine,Struct
006616E0,Units.dat - Air Weapon,1,228,Simple Data,Weapons.dat index,Engine,Struct
006617C8,Units.dat - Unit Dimensions,8,228,Simple Data,Struct: 2 bytes - Left Dimension (from center) 2 bytes - ...,Engine,Struct
00661EE8,"Units.dat - ""Pissed"" Sound End",2,106,Simple Data,sfxdata.dat end index,Engine,Struct
00661FC0,"Units.dat - ""Ready"" Sound",2,106,Simple Data,sfxdata.dat index,Engine,Struct
00662098,Units.dat - Right-click Action,1,228,Simple Data,0 = No commands/Auto Attack 1 = Normal movement/Normal Att...,Engine,Struct
00662180,Units.dat - Size Class,1,228,Simple Data,0 = Independent 1 = Small 2 = Medium 3 = Large,Engine,Struct
00662268,Units.dat - Human Init Action,1,228,Simple Data,"""Human Idle Action"" in DatEdit Orders.dat index",Engine,Struct
00662350,Units.dat - Max HP,4,228,Simple Data,Lowest byte is fractional part (*256),Engine,Struct
006626E0,Units.dat - Addon Placement,4,96,Simple Data,Struct: 2 bytes - X Pos 2 bytes - Y Pos  Only exists fo...,Engine,Struct
00662860,Units.dat - Building Dimensions,4,228,Simple Data,Struct: 2 bytes - Width 2 bytes - Height  Setting to 0 ...,Engine,Struct
00662BF0,"Units.dat - ""What"" Sound End",2,228,Simple Data,sfxdata.dat end index,Engine,Struct
00662DB8,Units.dat - Seek Range,1,228,Simple Data,1 range unit here = 2 range units in Weapons.dat. If the v...,Engine,Struct
00662EA0,Units.dat - Computer Init Action,1,228,Simple Data,"""Computer Idle"" in DatEdit Orders.dat index",Engine,Struct
